Name_PV,Type_Park,Section,Parameter,Value,Unit
PFV_Usya_AzaBache,WECC,Photovoltaic_park_parameters,N_PV_arrays,69,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,34.5,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),110,kVRMSLL
,,,Include_ZigZag_transformer_option,1,
,,,R_ZigZag,0.01,Ohm
,,,L_ZigZag,0.3,H
,,Single_pv_array,S_spv,1.667,MVA
,,,Inverter_nominal_voltage,0.575,kVRMSLL
,,,DC_voltage,1.26,kVRMSLL
,,,Q_filt,15,kVAR
,,,R_Choke,0.01,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.015216,Ohm
,,,L_collector,4.7361e-05,H
,,,C_collector,3.7862e-6,F
,,Operating_conditions,N_PV_inServ,69,
,,,Q_ctrlMode,1,
,,,Reactive_ref,-0.1090,pu
,,,P_ctrlMode,2,
,,,Active_ref,0.7700,pu
PFV_Sol_del_Desierto_II,WECC,Photovoltaic_park_parameters,N_PV_arrays,72,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,33,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,1,
,,,R_ZigZag,0.01,Ohm
,,,L_ZigZag,0.281163122e-3,H
,,Single_pv_array,S_spv,3.437,MVA
,,,Inverter_nominal_voltage,0.6,kVRMSLL
,,,DC_voltage,1.264,kVRMSLL
,,,Q_filt,15,kVAR
,,,R_Choke,0.01,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.018046,Ohm
,,,L_collector,0.1128472e-3,H
,,,C_collector,12.525e-6,F
,,Operating_conditions,N_PV_inServ,72,
,,,Q_ctrlMode,1,
,,,Reactive_ref,-0.1080,pu
,,,P_ctrlMode,2,
,,,Active_ref,0.9400,pu
PFV_PALM_HUAYCA,WECC,Photovoltaic_park_parameters,N_PV_arrays,30,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,34.5,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,1,
,,,R_ZigZag,0.1265,Ohm
,,,L_ZigZag,0.3831e-3,H
,,Single_pv_array,S_spv,1.667,MVA
,,,Inverter_nominal_voltage,0.575,kVRMSLL
,,,DC_voltage,1.264,kVRMSLL
,,,Q_filt,15,kVAR
,,,R_Choke,0.01,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.01011,Ohm
,,,L_collector,0.1682904368e-3,H
,,,C_collector,0.02177914e-6,F
,,Operating_conditions,N_PV_inServ,30,
,,,Q_ctrlMode,1,
,,,Reactive_ref,0.0000,pu
,,,P_ctrlMode,2,
,,,Active_ref,0.7800,pu
PFV_San_Pedro,WECC,Photovoltaic_park_parameters,N_PV_arrays,70,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,33,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,1,
,,,R_ZigZag,0.1265,Ohm
,,,L_ZigZag,0.3,H
,,Single_pv_array,S_spv,1.637,MVA
,,,Inverter_nominal_voltage,0.575,kVRMSLL
,,,DC_voltage,1.264,kVRMSLL
,,,Q_filt,10,kVAR
,,,R_Choke,0.01,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.1265,Ohm
,,,L_collector,0.3831e-3,H
,,,C_collector,7e-6,F
,,Operating_conditions,N_PV_inServ,70,
,,,Q_ctrlMode,1,
,,,Reactive_ref,0.0107,pu
,,,P_ctrlMode,2,
,,,Active_ref,0.4157,pu
PFV_Andes_Solar_IIA,WECC,Photovoltaic_park_parameters,N_PV_arrays,21,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,23,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,1,
,,,R_ZigZag,0.1,Ohm
,,,L_ZigZag,0.3638,H
,,Single_pv_array,S_spv,4.015,MVA
,,,Inverter_nominal_voltage,0.62,kVRMSLL
,,,DC_voltage,1.264,kVRMSLL
,,,Q_filt,0.25,MVAR
,,,R_Choke,0.01,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.010727,Ohm
,,,L_collector,0.195588858e-3,H
,,,C_collector,3.019974e-6,F
,,Operating_conditions,N_PV_inServ,21,
,,,Q_ctrlMode,1,
,,,Reactive_ref,-0.0902,pu
,,,P_ctrlMode,2,
,,,Active_ref,0.8160,pu
PFV_iem_ten,WECC,Photovoltaic_park_parameters,N_PV_arrays,94,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,33,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,1,
,,,R_ZigZag,0.1265,Ohm
,,,L_ZigZag,0.3831e-3,H
,,Single_pv_array,S_spv,1.56,MVA
,,,Inverter_nominal_voltage,0.69,kVRMSLL
,,,DC_voltage,1.264,kVRMSLL
,,,Q_filt,10,kVAR
,,,R_Choke,0.01,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.0254,Ohm
,,,L_collector,0.241278e-3,H
,,,C_collector,9.1085e-6,F
,,Operating_conditions,N_PV_inServ,70,
,,,Q_ctrlMode,1,
,,,Reactive_ref,-0.2,pu
,,,P_ctrlMode,2,
,,,Active_ref,0.92,pu
PFV_COCHRANE,WECC,Photovoltaic_park_parameters,N_PV_arrays,94,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,33,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,1,
,,,R_ZigZag,0.1265,Ohm
,,,L_ZigZag,0.3831e-3,H
,,Single_pv_array,S_spv,1.56,MVA
,,,Inverter_nominal_voltage,0.69,kVRMSLL
,,,DC_voltage,1.264,kVRMSLL
,,,Q_filt,10,kVAR
,,,R_Choke,0.01,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.0254,Ohm
,,,L_collector,0.241278e-3,H
,,,C_collector,9.1085e-6,F
,,Operating_conditions,N_PV_inServ,94,
,,,Q_ctrlMode,1,
,,,Reactive_ref,-0.4096,pu
,,,P_ctrlMode,2,
,,,Active_ref,0.6851,pu
PFV_KAPATUIR,WECC,Photovoltaic_park_parameters,N_PV_arrays,115,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,33,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,1,
,,,R_ZigZag,0.1265,Ohm
,,,L_ZigZag,0.3831e-3,H
,,Single_pv_array,S_spv,1.56,MVA
,,,Inverter_nominal_voltage,0.69,kVRMSLL
,,,DC_voltage,1.264,kVRMSLL
,,,Q_filt,10,kVAR
,,,R_Choke,0.01,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.0254,Ohm
,,,L_collector,0.241278e-3,H
,,,C_collector,9.1085e-6,F
,,Operating_conditions,N_PV_inServ,115,
,,,Q_ctrlMode,1,
,,,Reactive_ref,-0.0913,pu
,,,P_ctrlMode,2,
,,,Active_ref,0.2800,pu
PFV_NCHUQUI,WECC,Photovoltaic_park_parameters,N_PV_arrays,72,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,33,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
,,,Include_ZigZag_transformer_option,,
,,,R_ZigZag,0.01,Ohm
,,,L_ZigZag,0.281163122e-3,H
,,Single_pv_array,S_spv,3.437,MVA
,,,Inverter_nominal_voltage,0.6,kVRMSLL
,,,DC_voltage,1.264,kVRMSLL
,,,Q_filt,15,kVAR
,,,R_Choke,0.01,pu
,,,L_Choke,0.15,pu
,,Collector_grid,Inc_collector,,
,,,R_collector,0.018046,Ohm
,,,L_collector,0.1128472e-3,H
,,,C_collector,12.525e-6,F
,,Operating_conditions,N_PV_inServ,30,
,,,Q_ctrlMode,2,
,,,Reactive_ref,0,pu
,,,P_ctrlMode,2,
,,,Active_ref,0.97,pu
PFV_IEM_TEN,WECC,Photovoltaic_park_parameters,N_PV_arrays,72,
,,,Frequency,50,Hz
,,,Collector_grid_nominal_voltage,33,kVRMSLL
,,,Tx_grid_nominal_voltage(POI),220,kVRMSLL
