Name1,Name2,Type_Park,Status1,Status2,StatusFinal
PMGD_PFV_Crucero220,-,WECC PV park,1,-,1
PMGD_PFV_Esmeralda110,-,WECC PV park,1,-,1
PMGD_PFV_Cardones110,-,WECC PV park,1,-,1
PMGD_PFV_DAlmagro110,-,WECC PV park,1,-,1
PMGD_PFV_Maitencillo110,-,WECC PV park,1,-,1
PMGD_PFV_Quillota110,-,WECC PV park,1,-,1
PMGD_PFV_ElPenon110,-,WECC PV park,1,-,1
PMGD_PFV_LVilos220,-,WECC PV park,1,-,1
PMGD_PFV_PAzucar110,-,WECC PV park,1,-,1
PMGD_PFV_ASanta220,-,WECC PV park,1,-,1
PMGD_PFV_LVegas110,-,WECC PV park,1,-,1
PMGD_PFV_Batuco110,-,WECC PV park,1,-,1
PMGD_PFV_Chena110,-,WECC PV park,1,-,1
PMGD_PFV_Renca110,-,WECC PV park,1,-,1
PMGD_PFV_CNavia110,-,WECC PV park,1,-,1
PMGD_PFV_Florida110,-,WECC PV park,1,-,1
PMGD_PFV_AJahuel110,-,WECC PV park,1,-,1
PMGD_PFV_AMelipilla220,-,WECC PV park,1,-,1
PMGD_PFV_Polpaico220,-,WECC PV park,1,-,1
PMGD_PFV_Rapel220,-,WECC PV park,1,-,1
PMGD_PFV_Chillan154,-,WECC PV park,1,-,1
PMGD_PFV_SJavier066,-,WECC PV park,1,-,1
PMGD_PFV_Itahue154,-,WECC PV park,1,-,1
PMGD_PFV_Linares154,-,WECC PV park,1,-,1
PMGD_PFV_Malloa154,-,WECC PV park,1,-,1
PMGD_PFV_Talca066,-,WECC PV park,1,-,1
PMGD_PFV_Paine154,-,WECC PV park,1,-,1
PMGD_PFV_Parral154,-,WECC PV park,1,-,1
PMGD_PFV_PCortes154,-,WECC PV park,1,-,1
PMGD_PFV_Rancagua154,-,WECC PV park,1,-,1
PMGD_PFV_Teno154,-,WECC PV park,1,-,1
PMGD_PFV_Tinguiririca154,-,WECC PV park,1,-,1
PMGD_PFV_Charrua066,-,WECC PV park,1,-,1
PMGD_PFV_Horcones066,-,WECC PV park,1,-,1
PMGD_PFV_Mulchen220,-,WECC PV park,1,-,1
PMGD_PFV_Duqueco220,-,WECC PV park,1,-,1
PMGD_PFV_Temuco066,-,WECC PV park,1,-,1
PFV_Las_Salinas_Etapa2_OG,-,WECC PV park,1,-,1
PFV_Las_Salinas_Etapa3_OG,-,WECC PV park,1,-,1
PFV_Las_Salinas_Etapa4_OG,-,WECC PV park,1,-,1
PFV_Las_Salinas_Etapa5_OG,-,WECC PV park,1,-,1
PFV_Gran_Teno_OG,-,WECC PV park,1,-,1
PFV_Tamango_OG,-,WECC PV park,1,-,1
PFV_Dona_Antonia_OG,-,WECC PV park,1,-,1
PMG_Venezia_Solar_OG,-,WECC PV park,1,-,1
PFV_Don_Humberto_OG,-,WECC PV park,1,-,1
PFV_Tamarico_OG,-,WECC PV park,1,-,1
PFV_Ortega_Negrete_OG,-,WECC PV park,1,-,1
PFV_Las_Salinas_Etapa6_OG,-,WECC PV park,1,-,1
PFV_Libertad_II_OG,-,WECC PV park,1,-,1
PFV_Libertad_III_OG,-,WECC PV park,1,-,1
PFV_Leyda_OG,-,WECC PV park,1,-,1
PFV_Central_DDA_OG,-,WECC PV park,1,-,1
PFV_Sol_de_Vallenar_OG,-,WECC PV park,1,-,1
PFV_Aurora_Solar_OG,-,WECC PV park,1,-,1
PFV_Gabriela_OG,-,WECC PV park,1,-,1
PFV_Andes_III_Etapa1_OG,-,WECC PV park,1,-,1
PFV_Peldehue_Solar_OG,-,WECC PV park,1,-,1
PFV_Cachiyuyo_OG,-,WECC PV park,1,-,1
PFV_Victor_Jara_OG,-,WECC PV park,1,-,1
PFV_RIO_ESCONDIDO,PFV_RIO_ESCONDIDO,WECC PV park,0,1,0
PFV_Sol_del_Lila,PFV_Sol_del_Lila,PV park,0,1,0
PFV_STA_ISABEL,PFV_STA_ISABEL,PV park,0,1,0
PFV_Sol_de_Varas,PFV_Sol_de_Varas,PV park,0,1,0
PFV_IEM_TEN_old,PFV_iem_ten,WECC PV park,0,1,0
PFV_NCHUQUI,PFV_NCHUQUI,WECC PV park,0,1,0
