_Slack Central_Ralco/Ralco_U1/LF_RALC_U1 Central_Ralco/Ralco_U1/s13
3 +0.500000000000000E+02
+0.120971113534710E+05 +0.190594474288333E+02 +0.626140010171386E+04 +0.942540479846348E+00 +0.114930058731386E+05 +0.217198736234110E-12 
+0.120971113534710E+05 -0.100940552571167E+03 +0.626140010171382E+04 -0.119057459520141E+03 +0.114930058731388E+05 -0.120000000000000E+03 
+0.120971113534710E+05 +0.139059447428833E+03 +0.626140010171508E+04 +0.120942540479853E+03 +0.114930058731387E+05 +0.120000000000000E+03 
_PVbus C_ANGOSTURA/Angostura_U1/LF2 C_ANGOSTURA/Angostura_U1/s8
3 +0.500000000000000E+02
+0.109285822784124E+05 +0.264264641775894E+02 +0.457460076518242E+04 +0.171021460713519E+02 +0.112676528168026E+05 +0.257159093030180E+00 
+0.109285822784124E+05 -0.935735358224106E+02 +0.457460076518251E+04 -0.102897853928647E+03 +0.112676528168026E+05 -0.119742840906970E+03 
+0.109285822784124E+05 +0.146426464177589E+03 +0.457460076518257E+04 +0.137102146071352E+03 +0.112676528168026E+05 +0.120257159093030E+03 
_PVbus Central_Canutillar/Canutillar_U1/LF_CANU_U1 Central_Canutillar/Canutillar_U1/s13
3 +0.500000000000000E+02
+0.127564407051419E+05 -0.371566584932831E+01 +0.156240274399129E+04 -0.369017269609546E+02 +0.112676528168026E+05 -0.181145979001278E+02 
+0.127564407051419E+05 -0.123715665849328E+03 +0.156240274412241E+04 -0.156901726959928E+03 +0.112676528167942E+05 -0.138114597900459E+03 
+0.127564407051419E+05 +0.116284334150672E+03 +0.156240274408109E+04 +0.830982730353946E+02 +0.112676528167421E+05 +0.101885402099744E+03 
_PVbus Central_Canutillar/Canutillar_U2/LF_CANU_U2 Central_Canutillar/Canutillar_U2/s13
3 +0.500000000000000E+02
+0.127564407051419E+05 -0.371566584932831E+01 +0.156240274399129E+04 -0.369017269609546E+02 +0.112676528168026E+05 -0.181145979001278E+02 
+0.127564407051419E+05 -0.123715665849328E+03 +0.156240274412241E+04 -0.156901726959928E+03 +0.112676528167942E+05 -0.138114597900459E+03 
+0.127564407051419E+05 +0.116284334150672E+03 +0.156240274408109E+04 +0.830982730353946E+02 +0.112676528167421E+05 +0.101885402099744E+03 
_PVbus Central_Colbun/Colbun_U1/LF_COLB_U1 Central_Colbun/Colbun_U1/s13
3 +0.500000000000000E+02
+0.130649022341925E+05 +0.221033428299640E+02 +0.576880348773568E+04 -0.549860826334774E+01 +0.115942514491737E+05 -0.163991114529747E+01 
+0.130649022341925E+05 -0.978966571700361E+02 +0.576880348773568E+04 -0.125498608263348E+03 +0.115942514491737E+05 -0.121639911145297E+03 
+0.130649022341925E+05 +0.142103342829964E+03 +0.576880348773567E+04 +0.114501391736652E+03 +0.115942514491737E+05 +0.118360088854703E+03 
_PVbus Central_Colbun/Colbun_U2/LF_COLB_U2 Central_Colbun/Colbun_U2/s4
3 +0.500000000000000E+02
+0.130647296229870E+05 +0.221269658478217E+02 +0.576878959847416E+04 -0.547327392095604E+01 +0.115942514491737E+05 -0.161662257242291E+01 
+0.130647296229870E+05 -0.978730341521783E+02 +0.576878959847415E+04 -0.125473273920956E+03 +0.115942514491737E+05 -0.121616622572423E+03 
+0.130647296229870E+05 +0.142126965847822E+03 +0.576878959847415E+04 +0.114526726079044E+03 +0.115942514491737E+05 +0.118383377427577E+03 
_PVbus Central_LaConfluencia/LaConfluencia_U1/LF_LCONFLUE_U1 Central_LaConfluencia/LaConfluencia_U1/s3
3 +0.500000000000000E+02
+0.123955858603328E+05 +0.128457540204069E+02 +0.152553814231287E+04 +0.364537658853190E+01 +0.123290983720087E+05 -0.339568182163490E+01 
+0.123955858603328E+05 -0.107154245979593E+03 +0.152553814231287E+04 -0.116354623411468E+03 +0.123290983720087E+05 -0.123395681821635E+03 
+0.123955858603328E+05 +0.132845754020407E+03 +0.152553814231287E+04 +0.123645376588532E+03 +0.123290983720087E+05 +0.116604318178365E+03 
_PVbus Central_LaConfluencia/LaConfluencia_U2/LF_LCONFLUE_U2 Central_LaConfluencia/LaConfluencia_U2/s1
3 +0.500000000000000E+02
+0.106991319904836E+05 +0.153801628552489E+02 +0.180405829569903E+04 +0.301198592477761E+02 +0.124107480301014E+05 -0.339774361047241E+01 
+0.106991319904836E+05 -0.104619837144751E+03 +0.180405829569903E+04 -0.898801407522238E+02 +0.124107480301014E+05 -0.123397743610472E+03 
+0.106991319904836E+05 +0.135380162855249E+03 +0.180405829569904E+04 +0.150119859247776E+03 +0.124107480301014E+05 +0.116602256389528E+03 
_PVbus Central_LaHiguera/LaHiguera_U1/LF_LHIGUER_U1 Central_LaHiguera/LaHiguera_U1/s13
3 +0.500000000000000E+02
+0.124355674416635E+05 +0.168521487167310E+02 +0.228390652101075E+04 -0.319762809750276E+01 +0.116759011072665E+05 -0.319926598286308E+01 
+0.124355674416635E+05 -0.103147851283269E+03 +0.228390652101074E+04 -0.123197628097503E+03 +0.116759011072665E+05 -0.123199265982863E+03 
+0.124355674416635E+05 +0.136852148716731E+03 +0.228390652101075E+04 +0.116802371902497E+03 +0.116759011072665E+05 +0.116800734017137E+03 
_PVbus Central_LaHiguera/LaHuiguera_U2/LF_LHIGUER_U2 Central_LaHiguera/LaHuiguera_U2/s13
3 +0.500000000000000E+02
+0.124357313477232E+05 +0.168542173371390E+02 +0.228390652025193E+04 -0.319762854754960E+01 +0.116759011072665E+05 -0.319692052764041E+01 
