Name_PV,LibType,N_PV_arrays,N_PV_inServ,S_spv,Unit,P_ctrlMode,Active_ref,Unit,Q_ctrlMode,Reactive_ref,Unit,s_nom,p_mw,q_mw,p_pu,q_pu,Frequency,Unit,Collector_grid_nominal_voltage,Unit,Tx_grid_nominal_voltage(POI),Unit,Include_ZigZag_transformer_option,R_ZigZag,Unit,L_ZigZag,Unit,Inverter_nominal_voltage,Unit,DC_voltage,Unit,Q_filt,Unit,R_Choke,L_Choke,Inc_collector,R_collector,Unit,L_collector,Unit,C_collector,Unit
PMGD_PFV_Teno154,WECC PV park,186,186,1,MVA,2,0.10,pu,1,0,pu,186,18.60000000,0.00000000,0.10000000,0.00000000,50,Hz,33,kVRMSLL,220,kVRMSLL,1,0.1265,Ohm,0.3831e-3,H,0.575,kVRMSLL,1.264,kVRMSLL,15,kVAR,0.01,0.15,,0.1265,Ohm,0.3831e-3,H,7e-6,F
PMGD_PFV_Tinguiririca154,WECC PV park,115,115,1,MVA,2,0.10,pu,1,-0.1,pu,115,11.50000000,-11.50000000,0.10000000,-0.10000000,50,Hz,33,kVRMSLL,220,kVRMSLL,1,0.1265,Ohm,0.3831e-3,H,0.575,kVRMSLL,1.264,kVRMSLL,15,kVAR,0.01,0.15,,0.1265,Ohm,0.3831e-3,H,7e-6,F
PMGD_PFV_Charrua066,WECC PV park,249,249,1,MVA,2,0.45,pu,1,-0.1,pu,249,112.05000000,-24.90000000,0.45000000,-0.10000000,50,Hz,33,kVRMSLL,220,kVRMSLL,1,0.1265,Ohm,0.3831e-3,H,0.575,kVRMSLL,1.264,kVRMSLL,15,kVAR,0.01,0.15,,0.1265,Ohm,0.3831e-3,H,7e-6,F
PMGD_PFV_Horcones066,WECC PV park,33,33,1,MVA,2,0.547777,pu,1,-0.1,pu,33,18.07664100,-3.30000000,0.54777700,-0.10000000,50,Hz,33,kVRMSLL,220,kVRMSLL,1,0.1265,Ohm,0.3831e-3,H,0.575,kVRMSLL,1.264,kVRMSLL,15,kVAR,0.01,0.15,,0.1265,Ohm,0.3831e-3,H,7e-6,F
PMGD_PFV_Mulchen220,WECC PV park,91,91,1,MVA,2,0.45,pu,1,-0.1,pu,91,40.95000000,-9.10000000,0.45000000,-0.10000000,50,Hz,33,kVRMSLL,220,kVRMSLL,1,0.1265,Ohm,0.3831e-3,H,0.575,kVRMSLL,1.264,kVRMSLL,15,kVAR,0.01,0.15,,0.1265,Ohm,0.3831e-3,H,7e-6,F
PMGD_PFV_Duqueco220,WECC PV park,29,29,1,MVA,2,0.547777,pu,1,0,pu,29,15.88553300,0.00000000,0.54777700,0.00000000,50,Hz,33,kVRMSLL,220,kVRMSLL,1,0.1265,Ohm,0.3831e-3,H,0.575,kVRMSLL,1.264,kVRMSLL,15,kVAR,0.01,0.15,,0.1265,Ohm,0.3831e-3,H,7e-6,F
PMGD_PFV_Temuco066,WECC PV park,30,30,1,MVA,2,0.547777,pu,1,-0.1,pu,30,16.43331000,-3.00000000,0.54777700,-0.10000000,50,Hz,33,kVRMSLL,220,kVRMSLL,1,0.1265,Ohm,0.3831e-3,H,0.575,kVRMSLL,1.264,kVRMSLL,15,kVAR,0.01,0.15,,0.1265,Ohm,0.3831e-3,H,7e-6,F
PFV_Gran_Teno_OG,WECC PV park,241,241,1,MVA,2,0.10,pu,1,-0.1,pu,241,24.10000000,-24.10000000,0.10000000,-0.10000000,50,Hz,33,kVRMSLL,220,kVRMSLL,1,0.1265,Ohm,0.3831e-3,H,0.575,kVRMSLL,1.264,kVRMSLL,15,kVAR,0.01,0.15,,0.1265,Ohm,0.3831e-3,H,7e-6,F
PFV_Tamango_OG,WECC PV park,49,49,1,MVA,2,0.547777,pu,1,-0.1,pu,49,26.84107300,-4.90000000,0.54777700,-0.10000000,50,Hz,33,kVRMSLL,220,kVRMSLL,1,0.1265,Ohm,0.3831e-3,H,0.575,kVRMSLL,1.264,kVRMSLL,15,kVAR,0.01,0.15,,0.1265,Ohm,0.3831e-3,H,7e-6,F
PMG_Venezia_Solar_OG,WECC PV park,11,11,1,MVA,2,0.10,pu,1,-0.1,pu,11,1.10000000,-1.10000000,0.10000000,-0.10000000,50,Hz,33,kVRMSLL,220,kVRMSLL,1,0.1265,Ohm,0.3831e-3,H,0.575,kVRMSLL,1.264,kVRMSLL,15,kVAR,0.01,0.15,,0.1265,Ohm,0.3831e-3,H,7e-6,F
PFV_Ortega_Negrete_OG,WECC PV park,3,3,1,MVA,2,0.547777,pu,1,-0.1,pu,3,1.64333100,-0.30000000,0.54777700,-0.10000000,50,Hz,33,kVRMSLL,220,kVRMSLL,1,0.1265,Ohm,0.3831e-3,H,0.575,kVRMSLL,1.264,kVRMSLL,15,kVAR,0.01,0.15,,0.1265,Ohm,0.3831e-3,H,7e-6,F
