Name_of_SG,Type_of_data,Parameter,Value,Unit,Status
,,X_0,0.015,pu,
,,X_d,1,pu,
,,X_q,0.55,pu,
,,X_dp,0.321,pu,
,,X_dpp,0.216,pu,
,,T_dp,2.034819,s,
,,T_dpp,0.06123365,s,
,,X_qp,0.309,pu,
,,X_qpp,0.224,pu,
,,T_qp,0.4477678,s,
,,T_qpp,0.07901091,s,
,Mechanical_data,H,4,kgm^2/rad,
Rapel_U3,Electrical_data,V_a,13.3,1kVRMSLL,
,,V_b,13.3,1kVRMSLL,
,,V_c,13.3,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,76,MVA,
,,R_a,0,pu,
,,X_l,0.134,pu,
,,X_0,0.015,pu,
,,X_d,1,pu,
,,X_q,0.55,pu,
,,X_dp,1,pu,
,,X_dpp,0.216,pu,
,,T_dp,2.034819,s,
,,T_dpp,0.06123365,s,
,,X_qp,0.309,pu,
,,X_qpp,0.224,pu,
,,T_qp,0.1814167,s,
,,T_qpp,0.07901091,s,
,Mechanical_data,H,4,kgm^2/rad,
Rapel_U4,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,76,MVA,
,,R_a,0,pu,
,,X_l,0.134,pu,
,,X_0,0.015,pu,
,,X_d,1,pu,
,,X_q,0.55,pu,
,,X_dp,0.321,pu,
,,X_dpp,0.216,pu,
,,T_dp,2.034819,s,
,,T_dpp,0.06123365,s,
,,X_qp,0.224,pu,
,,X_qpp,0.224,pu,
,,T_qp,0.2078476,s,
,,T_qpp,0.07901091,s,
,Mechanical_data,H,4,kgm^2/rad,
Rapel_U5,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,76,MVA,
,,R_a,0,pu,
,,X_l,0.134,pu,
,,X_0,0.015,pu,
,,X_d,1,pu,
,,X_q,0.55,pu,
,,X_dp,0.321,pu,
,,X_dpp,0.216,pu,
,,T_dp,2.034819,s,
,,T_dpp,0.07901091,s,
,,X_qp,0.352,pu,
,,X_qpp,0.224,pu,
,,T_qp,0.2078476,s,
,,T_qpp,0.07901091,s,
,Mechanical_data,H,4,kgm^2/rad,
San_Isidro_U1_TG,Electrical_data,V_a,13.8,1kVRMSLL,
,,V_b,13.8,1kVRMSLL,
,,V_c,13.8,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,283.59,MVA,
,,R_a,.002,pu,
,,X_l,0.1035,pu,
,,X_0,0.06,pu,
,,X_d,2.17,pu,
,,X_q,2.12,pu,
,,X_dp,0.27,pu,
,,X_dpp,0.207,pu,
,,T_dp,1.306452,s,
,,T_dpp,0.03833333,s,
,,X_qp,0.27,pu,
,,X_qpp,0.207,pu,
,,T_qp,0.0254717,s,
,,T_qpp,0.1533333,s,
,Mechanical_data,H,4,kgm^2/rad,
San_Isidro_U1_TV,Electrical_data,V_a,15,1kVRMSLL,
,,V_b,15,1kVRMSLL,
,,V_c,15,1kVRMSLL,
,,Rated_voltage_(Y-connection),15,kVRMSLL,
,,Rated_power,162.412,MVA,
,,R_a,.002,pu,
,,X_l,0.001,pu,
,,X_0,0.08,pu,
,,X_d,2.83,pu,
,,X_q,2.81,pu,
,,X_dp,0.343,pu,
,,X_dpp,0.277,pu,
,,T_dp,1.151413,s,
,,T_dpp,0.04037901,s,
,,X_qp,0.5,pu,
,,X_qpp,0.277,pu,
,,T_qp,0.03558719,s,
,,T_qpp,0.0117448,s,
,Mechanical_data,H,4.5,kgm^2/rad,
San_Isidro_U2_TV,Electrical_data,V_a,13.2,1kVRMSLL,
,,V_b,13.2,1kVRMSLL,
,,V_c,13.2,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.2,kVRMSLL,
,,Rated_power,163,MVA,
,,R_a,.002,pu,
,,X_l,0.11,pu,
,,X_0,0.066,pu,
,,X_d,2.04,pu,
,,X_q,1.99,pu,
,,X_dp,0.175,pu,
,,X_dpp,0.132,pu,
,,T_dp,0.8235295,s,
,,T_dpp,0.03469715,s,
,,X_qp,0.318,pu,
,,X_qpp,0.132,pu,
,,T_qp,0.2396985,s,
,,T_qpp,0.03486792,s,
,Mechanical_data,H,7.92,kgm^2/rad,
San_Isidro_U2_TG,Electrical_data,V_a,15,1kVRMSLL,
,,V_b,15,1kVRMSLL,
,,V_c,15,1kVRMSLL,
,,Rated_voltage_(Y-connection),15,kVRMSLL,
,,Rated_power,305,MVA,
,,R_a,.002,pu,
,,X_l,0.11,pu,
,,X_0,0.11,pu,
,,X_d,1.95,pu,
,,X_q,1.75,pu,
,,X_dp,0.23,pu,
,,X_dpp,0.22,pu,
,,T_dp,0.8103077,s,
,,T_dpp,0.04304348,s,
,,X_qp,0.39,pu,
,,X_qpp,0.22,pu,
,,T_qp,0.3342857,s,
,,T_qpp,0.0428718,s,
,Mechanical_data,H,7,kgm^2/rad,
GUACOLDA_U1,Electrical_data,V_a,13.799999999999974,1kVRMSLL,
,,V_b,13.799999999999974,1kVRMSLL,
,,V_c,13.799999999999974,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,176.5,MVA,
,,R_a,.002,pu,
,,X_l,0.1,pu,
,,X_0,0.0977,pu,
,,X_d,2.24,pu,
,,X_q,2.24,pu,
,,X_dp,0.236,pu,
,,X_dpp,0.176,pu,
,,T_dp,0.8955357,s,
,,T_dpp,0.01640678,s,
,,X_qp,0.59,pu,
,,X_qpp,0.176,pu,
,,T_qp,0.4477678,s,
,,T_qpp,0.00656271,s,
,Mechanical_data,H,4.32,kgm^2/rad,
GUADOLDA_U2,Electrical_data,V_a,13.799999999999974,1kVRMSLL,
,,V_b,13.799999999999974,1kVRMSLL,
,,V_c,13.799999999999974,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.8,kVRMSLL,
,,Rated_power,176.5,MVA,
,,R_a,.002,pu,
,,X_l,0.1,pu,
,,X_0,0.0977,pu,
,,X_d,2.24,pu,
,,X_q,2.24,pu,
,,X_dp,0.236,pu,
,,X_dpp,0.176,pu,
,,T_dp,0.8955357,s,
,,T_dpp,0.01640678,s,
,,X_qp,0.59,pu,
,,X_qpp,0.176,pu,
,,T_qp,0.4477678,s,
,,T_qpp,0.00656271,s,
,Mechanical_data,H,4.32,kgm^2/rad,
GUACOLDA_U3,Electrical_data,V_a,13.424772670912212,1kVRMSLL,
,,V_b,13.424772670912212,1kVRMSLL,
,,V_c,13.424772670912212,1kVRMSLL,
,,Rated_voltage_(Y-connection),13.3,kVRMSLL,
,,Rated_power,178.82,MVA,
,,R_a,.002,pu,
,,X_l,0.09,pu,
,,X_0,0.067,pu,
,,X_d,1.603,pu,
,,X_q,1.567,pu,
,,X_dp,0.183,pu,
,,X_dpp,0.151,pu,
,,T_dp,0.9475359,s,
,,T_dpp,0.03548088,s,
,,X_qp,0.309,pu,
,,X_qpp,0.131,pu,
,,T_qp,0.1814167,s,
,,T_qpp,0.0351877,s,
,Mechanical_data,H,4.95,kgm^2/rad,
GUACOLDA_U4,Electrical_data,V_a,14.5,1kVRMSLL,
,,V_b,14.5,1kVRMSLL,
,,V_c,14.5,1kVRMSLL,
,,Rated_voltage_(Y-connection),14.5,kVRMSLL,
,,Rated_power,178.72,MVA,
,,R_a,.002,pu,
,,X_l,0.13,pu,
,,X_0,0.075,pu,
,,X_d,2.17,pu,
,,X_q,2.1,pu,
,,X_dp,0.184,pu,
,,X_dpp,0.146,pu,
,,T_dp,0.9411982,s,
