Name_LoadLF,LibType,Parameter,Value, Unit
,,P_loadLF,151.06666667,MW
,,Np,0,
,,Q_loadLF,20.8666666667,MVAR
,,Nq,0,
,,connectionType,Yg,
CNAVIA_TR_N1,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,84.8266666,MW
,,Np,0,
,,Q_loadLF,31.2366666666,MVAR
,,Nq,0,
,,connectionType,Yg,
CNAVIA_TR_N2,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,84.87666666,MW
,,Np,0,
,,Q_loadLF,31.60333333,MVAR
,,Nq,0,
,,connectionType,Yg,
CNAVIA_TR_N3,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,84.87666666,MW
,,Np,0,
,,Q_loadLF,31.60333333,MVAR
,,Nq,0,
,,connectionType,Yg,
PORTEZUELO_220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,29.1066666,MW
,,Np,0,
,,Q_loadLF,0.31,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_ASANTA_N1,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,53.3133333333,MW
,,Np,0,
,,Q_loadLF,36.11,MVAR
,,Nq,0,
,,connectionType,Yg,
L_PE_TALTAL,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,0.366666667,MW
,,Np,0,
,,Q_loadLF,0.53333334,MVAR
,,Nq,0,
,,connectionType,Yg,
COIPA_220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,4.06,MW
,,Np,0,
,,Q_loadLF,-2.7266667,MVAR
,,Nq,0,
,,connectionType,Yg,
L_GUAC220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,4.3333333334,MW
,,Np,0,
,,Q_loadLF,2.13333334,MVAR
,,Nq,0,
,,connectionType,Yg,
L_SE_SAG,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,10.4333334,MW
,,Np,0,
,,Q_loadLF,8.3333333334,MVAR
,,Nq,0,
,,connectionType,Yg,
Load1,PQ load Yg with load-flow (LF),Nominal_Voltage,110,kVRMSLL
,,P_loadLF,14.3,MW
,,Np,0,
,,Q_loadLF,5,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_CORDILL220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,10.1,MW
,,Np,0,
,,Q_loadLF,6.83333333334,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_CHICUREO2202,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,6.1,MW
,,Np,0,
,,Q_loadLF,1.4333333333334,MVAR
,,Nq,0,
,,connectionType,Yg,
L_PIUQUENES220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,47.2,MW
,,Np,0,
,,Q_loadLF,-8.666666667,MVAR
,,Nq,0,
,,connectionType,Yg,
L_CLEONES,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,0,MW
,,Np,0,
,,Q_loadLF,-3.0666666667,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_MANZA2202,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,18.7466667,MW
,,Np,0,
,,Q_loadLF,2,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_CHICUREO2201,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,0.266666666667,MW
,,Np,0,
,,Q_loadLF,0.53333333334,MVAR
,,Nq,0,
,,connectionType,Yg,
CANDELARIA_220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,31.43,MW
,,Np,0,
,,Q_loadLF,3.2033333,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_LALIGUA_N1,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,8.04333333,MW
,,Np,0,
,,Q_loadLF,-0.25,MVAR
,,Nq,0,
,,connectionType,Yg,
TAP_MAURO220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,11.03,MW
,,Np,0,
,,Q_loadLF,0.97,MVAR
,,Nq,0,
,,connectionType,Yg,
LPIUQUE_220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,59.393333,MW
,,Np,0,
,,Q_loadLF,-2.35333333,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_POLVORA_N1,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,13.3066666,MW
,,Np,0,
,,Q_loadLF,-13.283333,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_CASABLANCA_N1,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,10.8566666,MW
,,Np,0,
,,Q_loadLF,-0.8733333,MVAR
,,Nq,0,
,,connectionType,Yg,
PORTEZUELO_110,PQ load Yg with load-flow (LF),Nominal_Voltage,110,kVRMSLL
,,P_loadLF,0,MW
,,Np,0,
,,Q_loadLF,0,MVAR
,,Nq,0,
,,connectionType,Yg,
