Name_LoadLF,LibType,Parameter,Value, Unit
INFOR_220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,5.84,MW
,,Np,0,
,,Q_loadLF,2.33666666,MVAR
,,Nq,0,
,,connectionType,Yg,
TCHOLG_220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,4.533333333334,MW
,,Np,0,
,,Q_loadLF,1.9333333333334,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_STAFE_220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,14.373,MW
,,Np,0,
,,Q_loadLF,3.81,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_COLBUN_N1,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,32.7466666,MW
,,Np,0,
,,Q_loadLF,11.093333333,MVAR
,,Nq,0,
,,connectionType,Yg,
MINERO_220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,56.4,MW
,,Np,0,
,,Q_loadLF,13.2,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_TEMUCO66,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,30.41,MW
,,Np,0,
,,Q_loadLF,9.52,MVAR
,,Nq,0,
,,connectionType,Yg,
MAULE_220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,30.88,MW
,,Np,0,
,,Q_loadLF,8,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_CHILOE_110,PQ load Yg with load-flow (LF),Nominal_Voltage,110,kVRMSLL
,,P_loadLF,11.3866666667,MW
,,Np,0,
,,Q_loadLF,1,MVAR
,,Nq,0,
,,connectionType,Yg,
ATR_VALDIV_220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,13.1,MW
,,Np,0,
,,Q_loadLF,2.47,MVAR
,,Nq,0,
,,connectionType,Yg,
ATR_LASTARR_220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,8.93,MW
,,Np,0,
,,Q_loadLF,-0.35333333,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_HUALQUI_220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,10.94,MW
,,Np,0,
,,Q_loadLF,1.683333333,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_ITAHUE_N1,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,22.7433333334,MW
,,Np,0,
,,Q_loadLF,8.89333333,MVAR
,,Nq,0,
,,connectionType,Yg,
CONCEPCION_220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,42.8,MW
,,Np,0,
,,Q_loadLF,11.8,MVAR
,,Nq,0,
,,connectionType,Yg,
CHARRUA_154,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,51.68,MW
,,Np,0,
,,Q_loadLF,20.81666666667,MVAR
,,Nq,0,
,,connectionType,Yg,
TINGUIRI_220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,66.7066666,MW
,,Np,0,
,,Q_loadLF,26.606666666,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_CPACIFICO,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,6.01666666667,MW
,,Np,0,
,,Q_loadLF,3.18666666667,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_LGUINDOS,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,13.24333333,MW
,,Np,0,
,,Q_loadLF,4.2933333333,MVAR
,,Nq,0,
,,connectionType,Yg,
l_CUNCO110,PQ load Yg with load-flow (LF),Nominal_Voltage,110,kVRMSLL
,,P_loadLF,0,MW
,,Np,0,
,,Q_loadLF,-0.9333333334,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_MARIQUINA,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,5.12,MW
,,Np,0,
,,Q_loadLF,1.1033333333,MVAR
,,Nq,0,
,,connectionType,Yg,
ATR_PICHIRRO,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,14.7,MW
,,Np,0,
,,Q_loadLF,2.7333333334,MVAR
,,Nq,0,
,,connectionType,Yg,
PILAUCO_220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,19.06666666667,MW
,,Np,0,
,,Q_loadLF,1.1333333333334,MVAR
,,Nq,0,
,,connectionType,Yg,
L_MAMPIL220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,0.62,MW
,,Np,0,
,,Q_loadLF,0.06,MVAR
,,Nq,0,
,,connectionType,Yg,
L_RUCUE220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,0.43,MW
,,Np,0,
,,Q_loadLF,0.09,MVAR
,,Nq,0,
,,connectionType,Yg,
FCR_154,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,30.173333333,MW
,,Np,0,
,,Q_loadLF,15.273333333,MVAR
,,Nq,0,
,,connectionType,Yg,
L_CMPC110,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,9.9333333334,MW
,,Np,0,
,,Q_loadLF,2.9333333334,MVAR
,,Nq,0,
,,connectionType,Yg,
L_STAMARIA220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,0.6,MW
,,Np,0,
,,Q_loadLF,0.63333334,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_DUQUE_N1,PQ load Yg with load-flow (LF),Nominal_Voltage,66,kVRMSLL
,,P_loadLF,5.38666666666,MW
,,Np,0,
,,Q_loadLF,0.1866666667,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_TUNICHE_N1,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,19.23,MW
,,Np,0,
,,Q_loadLF,-0.2,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_MATAQ_220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,5.656666666,MW
,,Np,0,
,,Q_loadLF,-0.67666666,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_DICHATO,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,12.276666666,MW
,,Np,0,
,,Q_loadLF,2.16,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_NVACAUQUE,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,10.736666666,MW
,,Np,0,
,,Q_loadLF,6.2533333333,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_NIRIVI,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,9.91,MW
,,Np,0,
,,Q_loadLF,4.18,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_MAPA,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,11.03333333,MW
,,Np,0,
,,Q_loadLF,-6.3,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_VARONES,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,12.38666666667,MW
,,Np,0,
,,Q_loadLF,2.26666666666666667,MVAR
,,Nq,0,
,,connectionType,Yg,
ATR_METR_220_1,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,16.0633333333333334,MW
,,Np,0,
,,Q_loadLF,-1.303333333,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_NVA_VALD,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,5.58666666667,MW
,,Np,0,
,,Q_loadLF,2.33333333333,MVAR
,,Nq,0,
,,connectionType,Yg,
Load2,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,10.926666666,MW
,,Np,0,
,,Q_loadLF,1.9466666666,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_PAZUC_N1,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,88.74,MW
,,Np,0,
,,Q_loadLF,15.32333333333,MVAR
,,Nq,0,
,,connectionType,Yg,
SEM_CANDELARIA,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,19.56666666667,MW
,,Np,0,
,,Q_loadLF,3.966666667,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_PARGUA_220,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,5.033333333334,MW
,,Np,0,
,,Q_loadLF,3.133333333334,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_MELIPULLI110,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,20.73333333334,MW
,,Np,0,
,,Q_loadLF,2.2333333333334,MVAR
,,Nq,0,
,,connectionType,Yg,
L_LLANQUI,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,10.666667,MW
,,Np,0,
,,Q_loadLF,2.6,MVAR
,,Nq,0,
,,connectionType,Yg,
L_PTOMONTT,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,8,MW
,,Np,0,
,,Q_loadLF,0.133333333334,MVAR
,,Nq,0,
,,connectionType,Yg,
MELI_220_66,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,12.666666666667,MW
,,Np,0,
,,Q_loadLF,4.0333333333334,MVAR
,,Nq,0,
,,connectionType,Yg,
Puerto_CMDIC,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,4.32,MW
,,Np,0,
,,Q_loadLF,2.166667,MVAR
,,Nq,0,
,,connectionType,Yg,
TR_CHIMBORA,PQ load Yg with load-flow (LF),Nominal_Voltage,220,kVRMSLL
,,P_loadLF,8.5,MW
,,Np,0,
,,Q_loadLF,1.76666667,MVAR
,,Nq,0,
,,connectionType,Yg,
