Name_WP,Active_ref
PE_Renaico_I,1
PE_Aurora,0.94
PE_SanGabriel,0.85
PE_MallecoNorte,0.85
PE_MallecoSur,0.85
PE_Los_Olmos,0.85
PE_Tolpan_Sur,0.85
PE_Lomas_de_Duqueco,0.85
PE_San_Matias_Etapa1_OG,0.85
