_Slack Central_Ralco/Ralco_U1/LF_RALC_U1 Central_Ralco/Ralco_U1/s13
3 +0.500000000000000E+02
+0.120947346226237E+05 +0.190482391268268E+02 +0.625666163001449E+04 +0.964585221310939E+00 +0.114930058731386E+05 +0.236737942596483E-12 
+0.120947346226237E+05 -0.100951760873173E+03 +0.625666163001467E+04 -0.119035414778679E+03 +0.114930058731388E+05 -0.120000000000000E+03 
+0.120947346226237E+05 +0.139048239126827E+03 +0.625666163001557E+04 +0.120964585221315E+03 +0.114930058731387E+05 +0.120000000000000E+03 
_PVbus Central_Alfalfal/Alfalfal_U1/LF_ALFAL_U1 Central_Alfalfal/Alfalfal_U1/s13
3 +0.500000000000000E+02
+0.113562308647578E+05 +0.205525243141460E+02 +0.360405794900834E+04 -0.878497342373615E+01 +0.989593856084408E+04 -0.661669082418482E+01 
+0.113562308647578E+05 -0.994474756858540E+02 +0.360405794900833E+04 -0.128784973423736E+03 +0.989593856084408E+04 -0.126616690824185E+03 
+0.113562308647578E+05 +0.140552524314146E+03 +0.360405794900834E+04 +0.111215026576264E+03 +0.989593856084408E+04 +0.113383309175815E+03 
_PVbus Central_Alfalfal/Alfalfal_U2/LF_ALFAL_U2 Central_Alfalfal/Alfalfal_U2/s13
3 +0.500000000000000E+02
+0.113608392811809E+05 +0.203947964778877E+02 +0.360419599004278E+04 -0.898791617430668E+01 +0.989593856084408E+04 -0.676242868975953E+01 
+0.113608392811809E+05 -0.996052035221123E+02 +0.360419599004279E+04 -0.128987916174307E+03 +0.989593856084408E+04 -0.126762428689760E+03 
+0.113608392811809E+05 +0.140394796477888E+03 +0.360419599004279E+04 +0.111012083825693E+03 +0.989593856084408E+04 +0.113237571310240E+03 
_PVbus Central_Alfalfal_II/Alfalfal_II_U1/LF_ALFAL_II_U1 Central_Alfalfal_II/Alfalfal_II_U1/s13
3 +0.500000000000000E+02
+0.140854885586595E+05 +0.216023615008426E+01 +0.225454437741655E+04 -0.324603499085059E+02 +0.127373466624725E+05 -0.797023606113626E+01 
+0.140854885586595E+05 -0.117839763849916E+03 +0.225454437741654E+04 -0.152460349908506E+03 +0.127373466624726E+05 -0.127970236061136E+03 
+0.140854885586594E+05 +0.122160236150084E+03 +0.225454437741655E+04 +0.875396500914943E+02 +0.127373466624726E+05 +0.112029763938864E+03 
_PVbus Central_Alfalfal_II/Alfalfal_II_U2/LF_ALFAL_II_U2 Central_Alfalfal_II/Alfalfal_II_U2/s13
3 +0.500000000000000E+02
+0.140854885586595E+05 +0.216023615008426E+01 +0.225454437741655E+04 -0.324603499085059E+02 +0.127373466624725E+05 -0.797023606113626E+01 
+0.140854885586595E+05 -0.117839763849916E+03 +0.225454437741654E+04 -0.152460349908506E+03 +0.127373466624726E+05 -0.127970236061136E+03 
+0.140854885586594E+05 +0.122160236150084E+03 +0.225454437741655E+04 +0.875396500914943E+02 +0.127373466624726E+05 +0.112029763938864E+03 
_PVbus C_ANGOSTURA/Angostura_U1/LF2 C_ANGOSTURA/Angostura_U1/s8
3 +0.500000000000000E+02
+0.109271164842345E+05 +0.264325424723719E+02 +0.457503091918047E+04 +0.171222307462316E+02 +0.112676528168026E+05 +0.259460548816334E+00 
+0.109271164842345E+05 -0.935674575276281E+02 +0.457503091918053E+04 -0.102877769253766E+03 +0.112676528168027E+05 -0.119740539451184E+03 
+0.109271164842345E+05 +0.146432542472372E+03 +0.457503091918065E+04 +0.137122230746232E+03 +0.112676528168026E+05 +0.120259460548816E+03 
_PVbus Central_Canutillar/Canutillar_U1/LF_CANU_U1 Central_Canutillar/Canutillar_U1/s13
3 +0.500000000000000E+02
+0.127554122203520E+05 -0.371068489780347E+01 +0.156224339001386E+04 -0.368807566565921E+02 +0.112676528168026E+05 -0.181108155243690E+02 
+0.127554122203520E+05 -0.123710684897803E+03 +0.156224338999698E+04 -0.156880756658135E+03 +0.112676528167860E+05 -0.138110815524295E+03 
+0.127554122203520E+05 +0.116289315102197E+03 +0.156224338996898E+04 +0.831192433431727E+02 +0.112676528168070E+05 +0.101889184475742E+03 
_PVbus Central_Canutillar/Canutillar_U2/LF_CANU_U2 Central_Canutillar/Canutillar_U2/s13
3 +0.500000000000000E+02
+0.127554122203520E+05 -0.371068489780347E+01 +0.156224339001386E+04 -0.368807566565921E+02 +0.112676528168026E+05 -0.181108155243690E+02 
+0.127554122203520E+05 -0.123710684897803E+03 +0.156224338999698E+04 -0.156880756658135E+03 +0.112676528167860E+05 -0.138110815524295E+03 
+0.127554122203520E+05 +0.116289315102197E+03 +0.156224338996898E+04 +0.831192433431727E+02 +0.112676528168070E+05 +0.101889184475742E+03 
_PVbus Central_Colbun/Colbun_U1/LF_COLB_U1 Central_Colbun/Colbun_U1/s13
3 +0.500000000000000E+02
+0.130644138631469E+05 +0.221069065145467E+02 +0.576876420433010E+04 -0.549020261059267E+01 +0.115942514491737E+05 -0.163729443224708E+01 
+0.130644138631469E+05 -0.978930934854533E+02 +0.576876420433009E+04 -0.125490202610593E+03 +0.115942514491737E+05 -0.121637294432247E+03 
+0.130644138631469E+05 +0.142106906514547E+03 +0.576876420433009E+04 +0.114509797389407E+03 +0.115942514491737E+05 +0.118362705567753E+03 
_PVbus Central_Colbun/Colbun_U2/LF_COLB_U2 Central_Colbun/Colbun_U2/s4
3 +0.500000000000000E+02
+0.130642446830864E+05 +0.221305226969563E+02 +0.576875061142141E+04 -0.546490910669602E+01 +0.115942514491737E+05 -0.161400606868413E+01 
