Name1,Name2,Name3,Status1,Status2,Status3,StatusFinal
Central_IEM_CTM3,CTM3_TG,CTM3_TG,0,0,1,0
Central_IEM_CTM3,CTM3_TV,CTM3_TV,0,0,1,0
Central_Sta_Lidia,StaLidia_U1,StaLidia_U1,0,0,1,0
Central_Los_Pinos,Los_Pinos_U1,LosPinos_U1,0,0,1,0
Central_Mampil,Mampil_U1,Mampil_U1,0,0,1,0
Central_Mampil,Mampil_U2,Mampil_U2,0,0,1,0
Central_Rapel,Rapel_U1,Rapel_U1,0,0,1,0
Central_Rapel,Rapel_U2,Rapel_U2,0,0,1,0
Central_Rapel,Rapel_U3,Rapel_U3,0,0,1,0
Central_Rapel,Rapel_U4,Rapel_U4,0,0,1,0
Central_Rapel,Rapel_U5,Rapel_U5,0,0,1,0
Central_Petropower,Petropower_U1,Petropower_U1,0,0,1,0
Central_Antilhue,Antilhue_U1,Antilhue_U1,0,0,1,0
Central_Antilhue,Antilhue_U2,Antilhue_U2,0,0,1,0
Central_Bocamina_II,Bocamina_II,Bocamina_II,0,0,1,0
Central_San_Isidro,San_Isidro_U2_TV,San_Isidro_U2_TV,0,1,1,0
Central_San_Isidro,San_Isidro_U2_TG,San_Isidro_U2_TG,0,1,1,0
Central_San_Isidro,San_Isidro_U1_TG,San_Isidro_U1_TG,0,0,1,0
Central_San_Isidro,San_Isidro_U1_TV,San_Isidro_U1_TV,0,0,1,0
C_Laja,C_Laja,c_laja,0,0,1,0
C_Maipo_PA,C_Maipo_PA,C_Maipo_PA,0,1,1,0
Central_Guacolda_Hom,GUACOLDA_U3,GUACOLDA_U3,0,1,1,0
Central_Guacolda_Hom,GUACOLDA_U4,GUACOLDA_U4,0,1,1,0
Central_Guacolda_Hom,GUACOLDA_U5,GUACOLDA_U5,0,1,1,0
Central_Guacolda_Hom,GUACOLDA_U1,GUACOLDA_U1,0,0,1,0
Central_Guacolda_Hom,GUACOLDA_U2,GUADOLDA_U2,0,0,1,0
Central_Rucatayo,Rucatayo_U1,Central_Rucatayo,0,1,1,0
C_ANTILLANCA,C_ANTILLANCA,C_ANTILLANCA,0,1,1,0
Central_Valdivia,Valdivia_U1,Valdivia_U1,0,1,1,0
C_CARILAF_MALAL,C_CARILAF_MALAL,C_CARILAF,0,1,1,0
C_Palmucho,C_Palmucho_U1,c_palmucho,0,1,1,0
Central_Rucue,Rucue_U1,Rucue_U1,0,1,1,0
Central_Rucue,Rucue_U2,Rucue_U2,0,0,1,0
Central_Quilleco,Quilleco_U1,Quilleco_U1,0,1,1,0
Central_Quilleco,Quilleco_U2,Quilleco_U2,0,0,1,0
Central_Candelaria,Candelaria_U1,Candelar_U1,0,1,1,0
Central_Candelaria,Candelaria_U2,Rapel_U2,0,0,1,0
Central_Quintero,Quintero_TG1A,Quintero_TG1A,0,1,1,0
Central_Quintero,Quintero_TG1B,Quintero_TG1B,0,1,1,0
Central_Nehuenco,Nehuenco_U1_TV,Nehuenco_U1_TV,0,1,1,0
Central_Nehuenco,Nehuenco_U1_TG,Nehuenco_U1_TG,0,1,1,0
Central_Nehuenco,Nehuenco_U2_TG,Nehuenco_U2_TG,0,1,1,0
Central_Nehuenco,Nehuenco_U2_TV,Nehuenco_U2_TV,0,1,1,0
Central_Nehuenco,Nehuenco_U3,Nehuenco_U3,0,0,1,0
Central_Cerro_Pabellon,Cerro_Pabellon_U1,C_Pabellon_U1,0,1,1,0
Central_Cerro_Pabellon,Cerro_Pabellon_U2,C_Pabellon_U2,0,1,1,0
Central_Cerro_Pabellon,Cerro_Pabellon_U3,C_Pabellon_U3,0,1,1,0
Central_MAPA,MAPA_TG7,MAPA_TG7,0,1,1,0
Central_MAPA,MAPA_TG8,MAPA_TG8,0,1,1,0
Central_Guacolda,Guacolda_U1,Guacolda_U1,0,1,1,0
Central_Guacolda,Guacolda_U2,Guacolda_U2,0,1,1,0
Central_Guacolda,Guacolda_U3,Guacolda_U3,0,1,1,0
Central_Guacolda,Guacolda_U4,Guacolda_U4,0,0,1,0
Central_Guacolda,Guacolda_U5,Guacolda_U5,0,0,1,0
